210,Morszczuk świeży,89,17.2,2.2,0.0
211,Okoń świeży,82,18.4,0.8,0.0
212,"Pstrąg strumieniowy świeży",97,19.2,2.1,0.0
213,"Pstrąg tęczowy świeży",160,18.6,9.6,0.0
214,Sandacz świeży,84,19.2,0.7,0.0
215,Sardynka świeża,168,20.6,9.6,0.0
216,Sola świeża,83,17.5,1.4,0.0
217,Szczupak świeży,82,18.4,0.8,0.0
218,Śledź świeży,161,16.3,10.7,0.0
219,Śledź solony,217,19.8,15.4,0.0
220,Tuńczyk świeży,137,23.7,4.6,0.0
221,Węgorz świeży,278,15.0,24.5,0.0
222,Dorsz wędzony,94,22.1,0.5,0.0
223,Łosoś wędzony,162,21.5,8.4,0.0
224,Makrela wędzona,221,20.7,15.5,0.0
225,Pikling,215,21.8,14.3,0.0
226,Węgorz wędzony,326,17.9,28.6,0.0
227,"Paprykarz ""Szczeciński""",178,9.9,11.9,8.6
228,Pasztet z ryb wędzonych,151,12.9,10.6,1.2
229,Pasztet rybny homogenizowany,265,10.6,21.3,8.8
230,Sałatka z dorsza,187,9.8,13.9,7.2
231,Sałatka pikantna z makreli,181,10.2,13.2,6.9
232,Sardynka w oleju,221,24.1,13.9,0.0
233,Sardynka w pomidorach,162,17.0,9.9,1.4
234,Śledź marynowany,192,16.5,12.6,3.4
235,Śledź w oleju,301,16.4,26.5,0.0
236,Śledź w sosie pomidorowym,159,13.8,9.7,4.6
237,Tuńczyk w oleju,190,27.1,9.0,0.0
238,Tuńczyk w wodzie,96,21.0,1.2,0.0
239,Śledź w śmietanie,96,5.5,6.2,5.3
240,Śledzie zawijane (rolmopsy),104,8.0,7.0,3.0
241,Olej krokoszowy,884,0.0,100.0,0.0
242,Olej kukurydziany,884,0.0,100.0,0.0
243,Olej palmowy,884,0.0,100.0,0.0
244,Olej rzepakowy o obniżonej zawartości kwasu erukowego,884,0.0,100.0,0.0
245,Olej rzepakowy uniwersalny,884,0.0,100.0,0.0
246,Olej rzepakowy tłoczony na zimno,884,0.0,100.0,0.0
247,Olej rzepakowo-sojowy,884,0.0,100.0,0.0
248,Olej sezamowy,884,0.0,100.0,0.0
249,Olej słonecznikowy,884,0.0,100.0,0.0
250,Olej sojowy,884,0.0,100.0,0.0
251,Olej z zarodków pszennych,884,0.0,100.0,0.0
252,Oliwa z oliwek,882,0.0,99.6,0.2
253,Planta,884,0.0,100.0,0.0
254,"Margaryna ""Bona""",442,0.0,50.0,0.0
255,"Margaryna ""Flora""",531,0.0,60.0,0.0
256,"Margaryna ""Kama""",398,0.0,45.0,0.0
257,"Margaryna ""Mini Light""",442,0.0,50.0,0.0
258,Margaryna mleczna,710,0.3,80.0,0.4
259,"Margaryna ""Palma""",710,0.3,80.0,0.4
260,"Margaryna ""Rama""",621,0.1,70.0,0.4
261,Margaryna słoneczna,710,0.3,80.0,0.4
262,"Margaryna ""Śniadaniowa""",534,0.3,60.0,0.5
263,"Margaryna ""Tina""",398,0.0,45.0,0.0
264,Margaryna zwykła,710,0.3,80.0,0.4
265,Masło roślinne kubkowe,666,0.3,75.0,0.4
266,"Masło roślinne kostka",710,0.3,80.0,0.4
267,"Masło roślinne ""Nova""",442,0.0,50.0,0.0
268,Masło extra,735,0.7,82.5,0.7
269,Masło śmietankowe,659,1.1,73.5,1.1
270,Słonina,797,2.4,89.0,0.0
271,Smalec,880,0.0,99.5,0.0
272,"Finea Mix niskotłuszczowa",533,0.3,60.0,0.3
273,Masełko zakopiańskie,573,0.9,64.0,0.9
274,Mlemix zambrowski,573,0.9,64.0,0.9
275,"Mąka pszenna typ 500",342,9.2,1.2,74.9
276,"Mąka pszenna typ 500 wzbogacona",342,9.2,1.2,74.9
277,"Mąka pszenna typ 550",343,9.4,1.6,74.1
278,"Mąka pszenna typ 750",330,9.1,1.8,73.8
279,"Mąka pszenna typ 1850",322,11.3,2.3,70.6
280,"Mąka pszenna typ 2000",317,11.1,2.4,70.5
281,"Mąka żytnia typ 580",327,5.5,1.5,78.1
282,"Mąka żytnia typ 720",327,5.9,1.7,77.4
283,"Mąka żytnia typ 1400",325,7.0,2.2,75.4
284,"Mąka żytnia typ 1850",321,7.3,2.2,75.0
285,"Mąka żytnia typ 2000",319,7.9,2.2,74.2
286,Semolina,346,10.1,1.3,75.0
287,Skrobia kukurydziana,353,0.2,0.0,88.5
288,Ziarno pszenicy,317,11.1,2.4,70.5
289,Ziarno żyta,319,7.9,2.2,74.2
290,Kasza gryczana,336,12.6,3.1,69.3
291,Kasza jaglana,346,10.5,2.9,71.6
292,Kasza jęczmienna perłowa,327,6.9,2.2,75.0
293,"Kasza jęczmienna pęczak",334,8.4,2.0,74.9
294,Kasza manna,348,8.7,1.3,76.7
295,Ryż biały,344,6.7,0.7,78.9
296,Ryż brązowy,322,7.1,1.9,76.8
297,Makaron bezjajeczny,363,10.0,1.6,78.5
298,Makaron bezjajeczny z semoliny,366,10.7,1.4,79.4
299,Makaron dwujajeczny,373,11.5,2.6,77.4
300,Makaron czterojajeczny,377,12.0,3.4,76.2
301,Makaron dwujajeczny z semoliny,374,11.9,2.4,77.8
302,Chleb żytni pełnoziarnisty,237,6.7,1.8,53.9
303,Chleb żytni jasny,241,4.0,1.3,57.1
304,Chleb żytni jasny mleczny,253,4.8,1.8,58.3
305,Chleb żytni pytlowy,239,4.4,1.5,56.2
306,Chleb żytni razowy,223,5.6,1.7,51.5
307,Chleb żytni razowy litewski,233,6.3,1.7,52.9
308,Chleb żytni razowy na miodzie,234,5.3,1.6,54.2
309,Chleb żytni razowy wytrawny,227,6.7,1.7,51.1
310,Chleb żytni razowy z soją i słonecznikiem,244,7.9,3.7,50.5
311,Chleb żytni sitkowy,229,5.2,1.5,53.2
312,Chleb żytni starogardzki,223,4.2,1.3,52.1
313,Chleb staropolski,219,5.0,1.7,50.5
314,Chleb żytni wileński,225,4.4,1.5,52.3
315,Pumpernikiel,252,5.8,2.0,58.3
316,Chleb baltonowski,246,5.9,1.5,55.9
317,Chleb chrupki,353,8.7,2.4,78.9
318,Chleb mazowiecki,248,6.3,1.4,56.3
319,Chleb mieszany słonecznikowy,246,6.4,4.5,49.2
320,Chleb mieszany z soją,232,6.8,2.7,49.6
321,Chleb mleczny,251,6.6,1.5,56.4
322,Chleb nałęczowski,244,5.7,1.3,56.2
323,Chleb poleski,249,6.3,2.1,55.3
324,Chleb praski,244,5.7,1.3,56.2
325,Chleb wiejski,241,5.8,1.3,55.1
326,Chleb wielkopolski,250,6.0,1.5,57.3
327,Chleb zakopiański,261,6.8,1.9,57.9
328,Chleb zwykły,245,5.4,1.3,57.0
329,Bagietki francuskie,283,7.9,1.7,60.1
330,Bułki grahamki,258,8.2,1.7,56.9
331,Bułki pszenne zwykłe,272,7.3,1.5,58.5
332,Bułka tarta,347,9.7,1.9,77.6
333,Chleb Graham,226,7.6,1.7,49.4
334,Chleb pszenny,249,6.8,1.4,56.0
335,Chleb pszenny z ziarnem pszenicy,228,7.7,1.8,50.0
336,Bułeczki do hot dogów,339,8.7,7.5,60.6
337,Bułki mleczne,313,8.3,4.5,61.2
338,Bułki owsiane,304,8.7,4.5,59.1
339,Bułki sojowe,328,9.7,4.2,64.6
340,Bułki wrocławskie,293,7.2,4.4,57.4
341,Kajzerki,295,7.5,3.6,59.4
342,Pieczywo tostowe,305,8.1,4.7,58.8
343,Strucle wrocławskie,302,8.1,4.8,57.6
344,Pieczywo tostowe Graham,273,7.5,4.2,53.8
345,Bułki i rogale maślane,326,7.7,5.9,61.8
346,Chałki zdobne,332,7.0,7.0,61.6
347,Pieczywo półfrancuskie z dżemem,409,7.6,9.9,73.7
348,Pieczywo półfrancuskie z serem,394,9.9,10.0,67.3
349,Rogale kruche,338,7.6,7.5,61.4
350,Chrupki kukurydziane,352,8.9,3.0,78.9
351,Musli z owocami suszonymi,325,8.4,3.4,72.2
352,Musli z rodzynkami i orzechami,375,11.5,12.7,62.9
353,Otręby pszenne,185,16.0,4.6,61.9
354,Płatki jęczmienne,355,9.8,3.6,79.4
355,Płatki kukurydziane,363,6.9,2.5,83.6
356,Płatki kukurydziane wzbogacane,363,6.9,2.5,83.6
357,Płatki owsiane,366,11.9,7.2,69.3
358,Płatki pszenne,351,9.0,3.0,81.0
359,Płatki żytnie,343,6.4,3.2,82.6
360,Ryż preparowany,361,6.3,1.6,84.1
361,Zarodki pszenne,323,27.5,9.4,45.5
362,Paszteciki drożdżowe z mięsem,308,8.4,18.4,28.8
363,Pizza mięsno-ziołowa,327,16.5,13.4,36.8
364,Pizza z pieczarkami i cebulą,289,12.0,13.3,32.1
365,Bakłażan,21,1.1,0.1,6.3
366,Boćwina,17,2.1,0.5,5.5
367,Bób,66,7.1,0.4,14.0
368,Brokuły,27,3.0,0.4,5.2
369,Brukselka,37,4.7,0.5,8.7
370,Burak,38,1.8,0.1,9.5
371,Cebula,30,1.4,0.4,6.9
372,Chrzan,67,4.5,0.6,18.1
373,Cukinia,15,1.2,0.1,3.2
374,Cykoria,21,1.7,0.2,4.1
375,Czosnek,146,6.4,0.5,32.6
376,Dynia,28,1.3,0.3,7.7
377,"Fasola biała nasiona suche",288,21.4,1.6,61.6
378,"Fasola mung kiełki",29,3.0,0.4,6.2
379,Fasola szparagowa,27,2.4,0.2,7.6
380,"Groch nasiona suche",293,23.8,1.4,60.2
381,Groszek zielony,76,6.7,0.4,17.0
382,Jarmuż,29,3.3,0.7,6.1
383,Kalafior,22,2.4,0.2,5.0
384,Kalarepa,29,2.2,0.3,6.5
385,Kapusta biała,29,1.7,0.2,7.4
386,Kapusta czerwona,27,1.9,0.2,6.7
387,Kapusta pekińska,12,1.2,0.2,3.2
388,Kapusta włoska,38,3.3,0.4,7.8
389,Koper ogrodowy,26,2.8,0.4,6.1
390,"Kukurydza kolby",110,3.7,1.5,23.4
391,Marchew,27,1.0,0.2,8.7
392,Ogórek,13,0.7,0.1,2.9
393,Papryka czerwona,28,1.3,0.5,6.6
394,Papryka zielona,18,1.1,0.3,4.6
395,Pasternak,56,1.6,0.6,15.5
396,"Pietruszka korzeń",38,2.6,0.5,10.5
397,"Pietruszka liście",41,4.4,0.4,9.0
398,Pomidor,15,0.9,0.2,3.6
399,Por,24,2.2,0.3,5.7
400,Rabarbar,9,0.5,0.1,4.6
401,Rzepa,26,1.1,0.3,8.2
402,Rzodkiewka,14,1.0,0.2,4.4
403,Sałata,14,1.4,0.2,2.9
404,Seler korzeniowy,21,1.6,0.3,7.7
405,Seler naciowy,13,1.0,0.2,3.6
406,"Soczewica czerwona nasiona suche",327,25.4,3.0,57.5
407,"Soczewica kiełki",120,9.0,0.6,22.1
408,"Soja nasiona suche",382,34.3,19.6,32.7
409,"Soja kiełki",141,13.1,6.7,9.6
410,Szczaw,21,1.1,0.8,4.9
411,Szczypiorek,29,4.1,0.8,3.9
412,Szparagi,18,1.9,0.2,3.7
413,Szpinak,16,2.6,0.4,3.0
414,Ziemniaki wczesne,69,1.8,0.1,16.3
415,Ziemniaki późne,85,1.9,0.1,20.5
416,"Ziemniaki średnio",77,1.9,0.1,18.3
417,Brokuły mrożone,24,2.7,0.4,4.7
418,Brukselka mrożona,36,4.5,0.5,8.4
419,Buraki puree mrożone,34,1.6,0.1,8.6
420,Fasolka szparagowa mrożona,24,2.2,0.2,6.8
421,Groszek zielony mrożony,72,6.4,0.4,16.3
422,Kalafior mrożony,20,2.2,0.2,4.5
423,Marchew mrożona,24,0.9,0.2,7.8
424,"Ogórki mizeria mrożone",12,0.6,0.1,2.6
425,Pomidor mrożony,15,0.9,0.2,3.6
426,Szpinak mrożony,15,2.3,0.4,2.7
427,Barszcz ukraiński mrożony,28,1.6,0.2,7.1
